"BEDS Code","School Name","District Name","School Type","Enrollment","Homicide","","Forcible Sex Offenses","","Other Sex Offenses","","Robbery","","Assault With Serious Physical Injury","","Arson","Kidnapping","","Assault with Physical Injury","","Reckless Endangerment","","Minor Altercations","","Intimidation, Harassment, Menacing, or Bullying","","Burglary","","Criminal Mischief","","Larceny, or Other Theft","","Bomb Threat","False Alarm","Riot","","Weapon Possession","","Drug Possession","Alcohol Possession","Other Disruptive"
"","","","","","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","","","With Weapon(s)","Without Weapon(s)","Through Screening","Under Other Circumstances","","",""
"010100010043","Philip J Schuyler Achievement Academy","Albany City School District","Public","310.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","26.0"
"010100010044","Sheridan Preparatory Academy","Albany City School District","Public","350.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","51.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","1.0","0.0","26.0"
"010100010045","Stephen And Harriet Myers Middle School","Albany City School District","Public","543.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","110.0","0.0","34.0","0.0","0.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","0.0","3.0","2.0","4.0","2.0","204.0"
"010100860005","New Covenant Charter School","","Charter","634.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","41.0","0.0","2.0","0.0","0.0","0.0","7.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","148.0"
"010100860829","Brighter Choice Charter School For Boys","","Charter","217.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","0.0","19.0","0.0","151.0","0.0","1.0","0.0","0.0","0.0","5.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0"
"010100860830","Brighter Choice School For Girls","","Charter","226.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","50.0","0.0","4.0","0.0","0.0","0.0","1.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.0"
"010100860867","Kipp Tech Valley Charter School","","Charter","295.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","123.0"
"010100860876","Achievement Academy Charter School","","Charter","173.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","0.0","9.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","25.0"
"010100860884","Albany Preparatory Charter School","","Charter","173.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","180.0"
"010100860892","Henry Johnson Charter School","","Charter","201.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0"
"010100860899","Albany Community Charter School","","Charter","232.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.0"
"010100860907","Green Tech High Charter School","","Charter","80.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","57.0"
"010201040001","Berne-Knox-Westerlo Junior-Senior High School","Berne-Knox-Westerlo Central School District","Public","593.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"010201040002","Berne-Knox-Westerlo Elementary School","Berne-Knox-Westerlo Central School District","Public","441.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0","0.0","9.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.0"
"010306060001","Clarksville Elementary School","Bethlehem Central School District","Public","226.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"010306060003","Elsmere Elementary School","Bethlehem Central School District","Public","292.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"010306060004","Glenmont Elementary School","Bethlehem Central School District","Public","385.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"010306060005","Hamagrael Elementary School","Bethlehem Central School District","Public","388.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"010306060006","Slingerlands Elementary School","Bethlehem Central School District","Public","508.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"010306060007","Bethlehem Central Middle School","Bethlehem Central School District","Public","1252.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0"
"010306060008","Bethlehem Central Senior High School","Bethlehem Central School District","Public","1656.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","4.0","0.0","8.0","0.0","24.0","0.0","0.0","0.0","3.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","2.0","2.0","6.0","6.0"
"010306060009","Eagle Elementary School","Bethlehem Central School District","Public","380.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
